Date Chocolate Vanilla Strawberry WaffleCone SugarCone
2/1/2024 30 34 28 19 41
2/2/2024 25 30 26 11 31
2/3/2024 42 43 29 32 40
2/4/2024 34 34 28 19 43
2/5/2024 25 30 26 16 36
2/6/2024 43 43 29 35 44
2/7/2024 37 34 28 19 41
2/8/2024 24 30 26 27 35
2/9/2024 41 43 29 35 42
2/10/2024 37 34 28 19 42
2/11/2024 25 30 26 11 31
2/12/2024 42 43 29 35 40
2/13/2024 33 34 28 19 41
2/14/2024 27 30 26 16 33
2/15/2024 48 43 24 35 44
2/16/2024 36 34 28 22 45
2/17/2024 22 30 25 17 36
2/18/2024 49 43 29 35 41
2/19/2024 39 34 27 19 42
2/20/2024 22 30 26 14 36
2/21/2024 41 43 20 35 45
2/22/2024 30 34 28 19 41
2/23/2024 21 30 22 12 36
2/24/2024 42 43 24 35 47
2/25/2024 30 34 28 19 42
2/26/2024 25 30 22 11 36
2/27/2024 42 43 31 35 42
2/28/2024 30 34 19 19 44
2/29/2024 29 29 26 10 36
