Date Chocolate Vanilla Strawberry WaffleCone SugarCone
6/1/2024 30 34 28 19 41
6/2/2024 25 30 26 11 31
6/3/2024 42 43 29 32 40
6/4/2024 34 34 28 19 43
6/5/2024 25 30 26 16 36
6/6/2024 43 43 29 35 44
6/7/2024 37 34 28 19 41
6/8/2024 24 30 26 27 35
6/9/2024 41 43 29 35 42
6/10/2024 37 34 28 19 42
6/11/2024 25 30 26 11 31
6/12/2024 42 43 29 35 40
6/13/2024 33 34 28 19 41
6/14/2024 27 30 26 16 33
6/15/2024 48 43 24 35 44
6/16/2024 36 34 28 22 45
6/17/2024 22 30 25 17 36
6/18/2024 49 43 29 35 41
6/19/2024 39 34 27 19 42
6/20/2024 22 30 26 14 36
6/21/2024 41 43 20 35 45
6/22/2024 30 34 28 19 41
6/23/2024 21 30 22 12 36
6/24/2024 42 43 24 35 47
6/25/2024 30 34 28 19 42
6/26/2024 25 30 22 11 36
6/27/2024 42 43 31 35 42
6/28/2024 30 34 19 19 44
6/29/2024 29 29 26 10 36
6/30/2024 43 42 29 35 45
