Date Chocolate Vanilla Strawberry WaffleCone SugarCone
8/1/2024 30 34 28 19 41
8/2/2024 25 30 26 11 31
8/3/2024 42 43 29 32 40
8/4/2024 34 34 28 19 43
8/5/2024 25 30 26 16 36
8/6/2024 43 43 29 35 44
8/7/2024 37 34 28 19 41
8/8/2024 24 30 26 27 35
8/9/2024 41 43 29 35 42
8/10/2024 37 34 28 19 42
8/11/2024 25 30 26 11 31
8/12/2024 42 43 29 35 40
8/13/2024 33 34 28 19 41
8/14/2024 27 30 26 16 33
8/15/2024 48 43 24 35 44
8/16/2024 36 34 28 22 45
8/17/2024 22 30 25 17 36
8/18/2024 49 43 29 35 41
8/19/2024 39 34 27 19 42
8/20/2024 22 30 26 14 36
8/21/2024 41 43 20 35 45
8/22/2024 30 34 28 19 41
8/23/2024 21 30 22 12 36
8/24/2024 42 43 24 35 47
8/25/2024 30 34 28 19 42
8/26/2024 25 30 22 11 36
8/27/2024 42 43 31 35 42
8/28/2024 30 34 19 19 44
8/29/2024 29 29 26 10 36
8/30/2024 43 42 29 35 45
8/31/2024 32 31 28 22 46
