Date Chocolate Vanilla Strawberry WaffleCone SugarCone
12/1/2024 30 34 28 19 41
12/2/2024 25 30 26 11 31
12/3/2024 42 43 29 32 40
12/4/2024 34 34 28 19 43
12/5/2024 25 30 26 16 36
12/6/2024 43 43 29 35 44
12/7/2024 37 34 28 19 41
12/8/2024 24 30 26 27 35
12/9/2024 41 43 29 35 42
12/10/2024 37 34 28 19 42
12/11/2024 25 30 26 11 31
12/12/2024 42 43 29 35 40
12/13/2024 33 34 28 19 41
12/14/2024 27 30 26 16 33
12/15/2024 48 43 24 35 44
12/16/2024 36 34 28 22 45
12/17/2024 22 30 25 17 36
12/18/2024 49 43 29 35 41
12/19/2024 39 34 27 19 42
12/20/2024 22 30 26 14 36
12/21/2024 41 43 20 35 45
12/22/2024 30 34 28 19 41
12/23/2024 21 30 22 12 36
12/24/2024 42 43 24 35 47
12/25/2024 30 34 28 19 42
12/26/2024 25 30 22 11 36
12/27/2024 42 43 31 35 42
12/28/2024 30 34 19 19 44
12/29/2024 29 29 26 10 36
12/30/2024 43 42 29 35 45
12/31/2024 32 31 28 22 46
