Date Chocolate Vanilla Strawberry WaffleCone SugarCone
1/1/2024 30 34 28 19 41
1/2/2024 25 30 26 11 31
1/3/2024 42 43 29 32 40
1/4/2024 34 34 28 19 43
1/5/2024 25 30 26 16 36
1/6/2024 43 43 29 35 44
1/7/2024 37 34 28 19 41
1/8/2024 24 30 26 27 35
1/9/2024 41 43 29 35 42
1/10/2024 37 34 28 19 42
1/11/2024 25 30 26 11 31
1/12/2024 42 43 29 35 40
1/13/2024 33 34 28 19 41
1/14/2024 27 30 26 16 33
1/15/2024 48 43 24 35 44
1/16/2024 36 34 28 22 45
1/17/2024 22 30 25 17 36
1/18/2024 49 43 29 35 41
1/19/2024 39 34 27 19 42
1/20/2024 22 30 26 14 36
1/21/2024 41 43 20 35 45
1/22/2024 30 34 28 19 41
1/23/2024 21 30 22 12 36
1/24/2024 42 43 24 35 47
1/25/2024 30 34 28 19 42
1/26/2024 25 30 22 11 36
1/27/2024 42 43 31 35 42
1/28/2024 30 34 19 19 44
1/29/2024 29 29 26 10 36
1/30/2024 43 42 29 35 45
1/31/2024 32 31 28 22 46
