Date Chocolate Vanilla Strawberry WaffleCone SugarCone
11/1/2024 30 34 28 19 41
11/2/2024 25 30 26 11 31
11/3/2024 42 43 29 32 40
11/4/2024 34 34 28 19 43
11/5/2024 25 30 26 16 36
11/6/2024 43 43 29 35 44
11/7/2024 37 34 28 19 41
11/8/2024 24 30 26 27 35
11/9/2024 41 43 29 35 42
11/10/2024 37 34 28 19 42
11/11/2024 25 30 26 11 31
11/12/2024 42 43 29 35 40
11/13/2024 33 34 28 19 41
11/14/2024 27 30 26 16 33
11/15/2024 48 43 24 35 44
11/16/2024 36 34 28 22 45
11/17/2024 22 30 25 17 36
11/18/2024 49 43 29 35 41
11/19/2024 39 34 27 19 42
11/20/2024 22 30 26 14 36
11/21/2024 41 43 20 35 45
11/22/2024 30 34 28 19 41
11/23/2024 21 30 22 12 36
11/24/2024 42 43 24 35 47
11/25/2024 30 34 28 19 42
11/26/2024 25 30 22 11 36
11/27/2024 42 43 31 35 42
11/28/2024 30 34 19 19 44
11/29/2024 29 29 26 10 36
11/30/2024 43 42 29 35 45
