Date Chocolate Vanilla Strawberry WaffleCone SugarCone
10/1/2024 30 34 28 19 41
10/2/2024 25 30 26 11 31
10/3/2024 42 43 29 32 40
10/4/2024 34 34 28 19 43
10/5/2024 25 30 26 16 36
10/6/2024 43 43 29 35 44
10/7/2024 37 34 28 19 41
10/8/2024 24 30 26 27 35
10/9/2024 41 43 29 35 42
10/10/2024 37 34 28 19 42
10/11/2024 25 30 26 11 31
10/12/2024 42 43 29 35 40
10/13/2024 33 34 28 19 41
10/14/2024 27 30 26 16 33
10/15/2024 48 43 24 35 44
10/16/2024 36 34 28 22 45
10/17/2024 22 30 25 17 36
10/18/2024 49 43 29 35 41
10/19/2024 39 34 27 19 42
10/20/2024 22 30 26 14 36
10/21/2024 41 43 20 35 45
10/22/2024 30 34 28 19 41
10/23/2024 21 30 22 12 36
10/24/2024 42 43 24 35 47
10/25/2024 30 34 28 19 42
10/26/2024 25 30 22 11 36
10/27/2024 42 43 31 35 42
10/28/2024 30 34 19 19 44
10/29/2024 29 29 26 10 36
10/30/2024 43 42 29 35 45
10/31/2024 32 31 28 22 46
