Date Chocolate Vanilla Strawberry WaffleCone SugarCone
9/1/2024 30 34 28 19 41
9/2/2024 25 30 26 11 31
9/3/2024 42 43 29 32 40
9/4/2024 34 34 28 19 43
9/5/2024 25 30 26 16 36
9/6/2024 43 43 29 35 44
9/7/2024 37 34 28 19 41
9/8/2024 24 30 26 27 35
9/9/2024 41 43 29 35 42
9/10/2024 37 34 28 19 42
9/11/2024 25 30 26 11 31
9/12/2024 42 43 29 35 40
9/13/2024 33 34 28 19 41
9/14/2024 27 30 26 16 33
9/15/2024 48 43 24 35 44
9/16/2024 36 34 28 22 45
9/17/2024 22 30 25 17 36
9/18/2024 49 43 29 35 41
9/19/2024 39 34 27 19 42
9/20/2024 22 30 26 14 36
9/21/2024 41 43 20 35 45
9/22/2024 30 34 28 19 41
9/23/2024 21 30 22 12 36
9/24/2024 42 43 24 35 47
9/25/2024 30 34 28 19 42
9/26/2024 25 30 22 11 36
9/27/2024 42 43 31 35 42
9/28/2024 30 34 19 19 44
9/29/2024 29 29 26 10 36
9/30/2024 43 42 29 35 45
